diseaseNID,diseaseClassNID
18368,20
13058,20
420,20
13198,20
1827,20
15673,20
29316,20
2256,20
2788,20
3060,20
11262,20
29770,20
20848,20
9971,20
32,20
23283,20
2876,20
530,20
8858,20
3062,20
8420,20
10732,20
1997,20
91,20
15477,20
5806,20
1817,20
2460,20
8904,20
1579,20
4123,20
1396,20
10360,20
1950,20
11417,20
10359,20
248,20
17653,20
185,20
1716,20
8876,20
8449,20
936,20
410,20
3167,20
3195,20
3511,20
2028,20
2337,20
3064,20
2728,20
1712,20
609,20
3077,20
16013,20
298,20
19825,20
19824,20
3254,20
926,20
1064,20
23573,20
17695,20
11049,20
959,20
9848,20
1868,20
12838,20
29430,20
18493,20
16808,20
1184,20
299,20
969,20
3166,20
1709,20
225,20
1710,20
16183,20
1393,20
2681,20
1948,20
1172,20
3078,20
1349,20
9906,20
1947,20
10884,20
1718,20
3477,20
752,20
1413,20
1350,20
2276,20
4219,20
1391,20
1802,20
407,20
28647,20
2710,20
1685,20
1867,20
5618,20
5679,20
1367,20
2751,20
1361,20
5409,20
18509,20
1794,20
2684,20
4077,20
2649,20
494,20
16017,20
1612,20
384,20
15293,20
929,20
19904,20
2502,20
2596,20
2463,20
728,20
23421,20
463,20
2808,20
3533,20
1363,20
1869,20
2461,20
3048,20
3011,20
910,20
433,20
3435,20
10738,20
23433,20
2767,20
591,20
8439,20
3478,20
3870,7
13172,7
1651,7
3195,7
11067,7
454,7
7802,7
2475,7
22684,7
17198,7
13954,7
13887,7
19449,7
3216,7
7442,7
3129,7
5674,7
11069,7
14966,7
3281,7
1732,7
14022,7
21412,7
2678,7
7850,7
1737,7
3272,7
19322,7
14184,7
4410,7
14057,7
3616,7
13803,7
4486,7
7401,7
453,7
7266,7
4591,7
3308,7
2708,7
856,7
14382,7
461,7
14123,7
10490,7
3852,7
19219,7
1741,7
2007,7
761,7
14994,7
14438,7
18771,7
5320,7
7838,7
3717,7
1025,7
13187,7
1847,7
8630,7
3879,7
1790,7
9647,7
7840,7
8875,7
457,7
7839,7
8395,7
15404,7
9776,7
11162,7
7173,7
948,7
11066,7
21468,7
4399,7
29356,7
7259,7
4494,7
19717,7
15970,7
3844,7
4477,7
9689,7
17197,7
8597,7
20116,7
4420,7
2781,7
13640,7
21232,7
16348,7
1417,7
3140,7
2344,7
15711,7
397,7
532,7
10934,7
13811,7
27008,7
10129,7
18671,7
2524,7
13502,7
15511,7
1880,7
4388,7
23434,7
11537,7
14042,7
11845,7
7861,7
7886,7
