diseaseNID,diseaseId,diseaseName,type
3,C0000731,Abdomen distended,phenotype
6,C0000737,Abdominal Pain,phenotype
7,C0000744,Abetalipoproteinemia,disease
8,C0000768,Congenital Abnormality,group
10,C0000772,Multiple congenital anomalies,group
11,C0000786,Spontaneous abortion,phenotype
14,C0000822,"Abortion, Tubal",phenotype
19,C0000887,Acantholysis,phenotype
20,C0000889,Acanthosis Nigricans,disease
21,C0000921,Accidental Falls,phenotype
22,C0001075,Achlorhydria,phenotype
24,C0001080,Achondroplasia,disease
26,C0001125,"Acidosis, Lactic",phenotype
27,C0001126,Renal tubular acidosis,phenotype
28,C0001127,"Acidosis, Respiratory",phenotype
30,C0001144,Acne Vulgaris,disease
32,C0001175,Acquired Immunodeficiency Syndrome,group
33,C0001193,Apert syndrome,disease
44,C0001339,Acute pancreatitis,disease
47,C0001349,Acute-Phase Reaction,phenotype
50,C0001364,Massive Hepatic Necrosis,phenotype
51,C0001403,Addison Disease,disease
53,C0001418,Adenocarcinoma,group
54,C0001420,Papillary adenocarcinoma,disease
57,C0001430,Adenoma,group
67,C0001576,Adnexal Diseases,group
69,C0001618,Tumors of Adrenal Cortex,group
72,C0001623,Adrenal gland hypofunction,phenotype
74,C0001627,Congenital adrenal hyperplasia,disease
77,C0001723,"Affective Disorders, Psychotic",group
79,C0001733,Afibrinogenemia,disease
81,C0001768,Agammaglobulinemia,disease
82,C0001787,"Osteoporosis, Age-Related",disease
83,C0001807,Aggressive behavior,phenotype
85,C0001815,Primary Myelofibrosis,disease
86,C0001816,Agnosia,disease
88,C0001824,Agranulocytosis,disease
91,C0001849,AIDS Dementia Complex,disease
95,C0001890,Akinetic Petit Mal,disease
96,C0001916,Albinism,disease
97,C0001925,Albuminuria,phenotype
98,C0001948,Alcohol consumption,phenotype
99,C0001956,Alcohol Use Disorder,disease
100,C0001957,Alcohol Withdrawal Delirium,disease
101,C0001969,Alcoholic Intoxication,disease
102,C0001973,"Alcoholic Intoxication, Chronic",disease
108,C0002066,Alkaptonuria,disease
111,C0002152,Alloxan Diabetes,disease
112,C0002170,Alopecia,disease
113,C0002171,Alopecia Areata,disease
114,C0002312,alpha-Thalassemia,disease
117,C0002390,Extrinsic allergic alveolitis,group
118,C0002395,Alzheimer's Disease,disease
119,C0002418,Amblyopia,phenotype
122,C0002448,Ameloblastoma,disease
123,C0002452,Amelogenesis Imperfecta,disease
124,C0002453,Amenorrhea,phenotype
125,C0002514,"Amino Acid Metabolism, Inborn Errors",group
133,C0002726,Amyloidosis,disease
134,C0002735,Oppenheim's Disease,disease
135,C0002736,Amyotrophic Lateral Sclerosis,disease
141,C0002871,Anemia,disease
143,C0002874,Aplastic Anemia,disease
144,C0002875,Cooley's anemia,disease
146,C0002878,"Anemia, Hemolytic",disease
148,C0002880,Autoimmune hemolytic anemia,disease
150,C0002882,"Anemia, Hemolytic, Congenital Nonspherocytic",disease
153,C0002886,"Anemia, Macrocytic",disease
154,C0002888,"Anemia, Megaloblastic",disease
159,C0002893,Refractory anemias,disease
161,C0002895,"Anemia, Sickle Cell",disease
162,C0002896,Sideroblastic anemia,disease
164,C0002902,Anencephaly,disease
166,C0002940,Aneurysm,disease
168,C0002957,Anger,phenotype
170,C0002962,Angina Pectoris,phenotype
172,C0002965,"Angina, Unstable",disease
173,C0002982,Angioid Streaks,disease
175,C0002986,Fabry Disease,disease
179,C0002994,Angioedema,phenotype
180,C0003028,Anhidrosis,disease
181,C0003076,Aniridia,disease
185,C0003089,Ankylosing spondylitis and other inflammatory spondylopathies,disease
188,C0003119,Anophthalmos,disease
189,C0003123,Anorexia,disease
190,C0003125,Anorexia Nervosa,disease
191,C0003126,Anosmia,phenotype
192,C0003128,Anovulation,phenotype
193,C0003129,Anoxemia,phenotype
194,C0003130,Anoxia,phenotype
200,C0003257,Antibody Deficiency Syndrome,disease
202,C0003460,Anuria,phenotype
204,C0003466,"Anus, Imperforate",disease
205,C0003467,Anxiety,disease
206,C0003469,Anxiety Disorders,group
208,C0003486,Aortic Aneurysm,disease
209,C0003492,Aortic coarctation,disease
212,C0003499,Supravalvular aortic stenosis,disease
213,C0003504,Aortic Valve Insufficiency,disease
219,C0003537,Aphasia,disease
220,C0003546,"Aphasia, Acquired",disease
223,C0003578,Apnea,phenotype
225,C0003615,Appendicitis,disease
227,C0003635,Apraxias,group
229,C0003706,Arachnodactyly,disease
232,C0003742,Arcus Senilis,disease
234,C0003803,Arnold Chiari Malformation,disease
236,C0003811,Cardiac Arrhythmia,phenotype
238,C0003838,Arterial Occlusive Diseases,group
239,C0003850,Arteriosclerosis,disease
240,C0003851,Arteriosclerosis Obliterans,disease
241,C0003855,Arteriovenous fistula,phenotype
242,C0003857,Congenital arteriovenous malformation,disease
244,C0003862,Arthralgia,phenotype
245,C0003864,Arthritis,disease
246,C0003865,"Arthritis, Adjuvant-Induced",disease
247,C0003868,"Arthritis, Gouty",disease
248,C0003869,"Arthritis, Infectious",group
249,C0003872,"Arthritis, Psoriatic",disease
250,C0003873,Rheumatoid Arthritis,disease
252,C0003886,Arthrogryposis,disease
257,C0003949,Asbestosis,disease
259,C0003962,Ascites,phenotype
264,C0004045,Asphyxia Neonatorum,disease
268,C0004096,Asthma,disease
270,C0004106,Astigmatism,disease
271,C0004114,Astrocytoma,disease
272,C0004134,Ataxia,phenotype
273,C0004135,Ataxia Telangiectasia,disease
275,C0004144,Atelectasis,phenotype
276,C0004153,Atherosclerosis,disease
277,C0004158,Athetosis,phenotype
278,C0004238,Atrial Fibrillation,disease
279,C0004239,Atrial Flutter,phenotype
285,C0004352,Autistic Disorder,disease
286,C0004364,Autoimmune Diseases,group
287,C0004368,Autoimmune state,phenotype
291,C0004509,Azoospermia,disease
294,C0004604,Back Pain,phenotype
298,C0004623,Bacterial Infections,group
299,C0004626,"Pneumonia, Bacterial",group
302,C0004681,Bagassosis,disease
305,C0004763,Barrett Esophagus,disease
307,C0004775,Bartter Disease,disease
308,C0004779,Basal Cell Nevus Syndrome,disease
309,C0004782,Basal Ganglia Diseases,group
310,C0004903,Beckwith-Wiedemann Syndrome,disease
312,C0004936,Mental disorders,group
314,C0004943,Behcet Syndrome,disease
321,C0005129,Bernard-Soulier Syndrome,disease
323,C0005138,Berylliosis,disease
325,C0005283,beta Thalassemia,disease
328,C0005398,"Cholestasis, Extrahepatic",disease
330,C0005411,Biliary Atresia,disease
332,C0005426,Biliary Tract Neoplasm,disease
333,C0005586,Bipolar Disorder,disease
334,C0005587,"Depression, Bipolar",disease
335,C0005612,Birth Weight,phenotype
337,C0005684,Malignant neoplasm of urinary bladder,disease
340,C0005694,Bladder neck obstruction,disease
341,C0005695,Bladder Neoplasm,disease
342,C0005697,Neurogenic Urinary Bladder,disease
346,C0005741,Blepharitis,disease
348,C0005744,Blepharophimosis,disease
349,C0005745,Blepharoptosis,disease
350,C0005747,Blepharospasm,disease
353,C0005758,Bulla,phenotype
354,C0005779,Blood Coagulation Disorders,group
356,C0005818,Blood Platelet Disorders,group
357,C0005823,Blood Pressure,phenotype
358,C0005833,Blood Sedimentation,phenotype
359,C0005845,Blood urea nitrogen measurement,phenotype
360,C0005848,Blood Viscosity,phenotype
361,C0005859,Bloom Syndrome,disease
365,C0005890,Body Height,phenotype
366,C0005893,Body mass index procedure,phenotype
369,C0005910,Body Weight,phenotype
371,C0005937,Bone Cysts,disease
372,C0005938,Bone Density,phenotype
373,C0005940,Bone Diseases,group
374,C0005941,"Bone Diseases, Developmental",group
379,C0005974,Bone Resorption,phenotype
381,C0006009,Borderline intellectual disability,disease
384,C0006023,Borna Disease,disease
387,C0006079,Bowen's Disease,disease
394,C0006114,Cerebral Edema,phenotype
395,C0006118,Brain Neoplasms,group
397,C0006142,Malignant neoplasm of breast,disease
398,C0006144,Breast Cyst,disease
399,C0006145,Breast Diseases,group
403,C0006262,Bronchial Fistula,disease
405,C0006266,Bronchospasm,disease
406,C0006267,Bronchiectasis,disease
407,C0006271,Bronchiolitis,disease
408,C0006272,Bronchiolitis Obliterans,disease
410,C0006277,Bronchitis,disease
413,C0006287,Bronchopulmonary Dysplasia,disease
416,C0006325,Bruxism,phenotype
417,C0006370,Bulimia,disease
418,C0006384,Bundle-Branch Block,disease
420,C0006413,Burkitt Lymphoma,disease
424,C0006625,Cachexia,phenotype
425,C0006635,Cadmium poisoning,disease
426,C0006663,Calcinosis,phenotype
431,C0006826,Malignant Neoplasms,group
433,C0006845,"Candidiasis, Chronic Mucocutaneous",disease
447,C0007095,Carcinoid Tumor,phenotype
448,C0007097,Carcinoma,group
449,C0007102,Malignant tumor of colon,disease
450,C0007103,Malignant neoplasm of endometrium,disease
453,C0007112,Adenocarcinoma of prostate,disease
454,C0007113,Rectal Carcinoma,disease
455,C0007114,Malignant neoplasm of skin,disease
457,C0007117,Basal cell carcinoma,disease
459,C0007120,Bronchioloalveolar Adenocarcinoma,disease
461,C0007124,Noninfiltrating Intraductal Carcinoma,disease
462,C0007125,"Carcinoma, Ehrlich Tumor",disease
463,C0007129,Merkel cell carcinoma,disease
464,C0007130,Mucinous Adenocarcinoma,disease
465,C0007131,Non-Small Cell Lung Carcinoma,disease
466,C0007133,"Carcinoma, Papillary",disease
467,C0007134,Renal Cell Carcinoma,disease
469,C0007137,Squamous cell carcinoma,disease
470,C0007138,"Carcinoma, Transitional Cell",disease
473,C0007177,Cardiac Tamponade,disease
475,C0007193,"Cardiomyopathy, Dilated",group
476,C0007194,Hypertrophic Cardiomyopathy,disease
477,C0007196,Restrictive cardiomyopathy,disease
478,C0007222,Cardiovascular Diseases,group
479,C0007273,Carotid Artery Diseases,group
480,C0007274,Carotid Artery Thrombosis,disease
482,C0007282,Carotid Stenosis,disease
483,C0007286,Carpal Tunnel Syndrome,disease
486,C0007370,Catalepsy,disease
492,C0007570,Celiac Disease,disease
493,C0007621,Neoplastic Cell Transformation,phenotype
494,C0007642,Cellulitis,phenotype
501,C0007758,Cerebellar Ataxia,phenotype
502,C0007760,Cerebellar Diseases,group
505,C0007766,Intracranial Aneurysm,disease
512,C0007785,Cerebral Infarction,disease
513,C0007786,Brain Ischemia,disease
514,C0007787,Transient Ischemic Attack,disease
515,C0007789,Cerebral Palsy,disease
516,C0007795,Diffuse Cerebral Sclerosis of Schilder,disease
522,C0007859,Neck Pain,phenotype
528,C0007873,Uterine Cervical Neoplasm,disease
530,C0007930,Chagas Cardiomyopathy,disease
532,C0007933,Meibomian Cyst,disease
535,C0007959,Charcot-Marie-Tooth Disease,disease
536,C0007965,Chediak-Higashi Syndrome,disease
538,C0008029,Cherubism,disease
539,C0008031,Chest Pain,phenotype
547,C0008073,Developmental Disabilities,group
548,C0008074,"Child Development Disorders, Pervasive",group
552,C0008297,Choanal Atresia,disease
556,C0008311,Cholangitis,disease
557,C0008312,Primary biliary cirrhosis,disease
558,C0008313,"Cholangitis, Sclerosing",disease
559,C0008325,Cholecystitis,disease
560,C0008340,Choledochal Cyst,disease
561,C0008350,Cholelithiasis,disease
564,C0008370,Cholestasis,disease
565,C0008372,Intrahepatic Cholestasis,disease
566,C0008373,Cholesteatoma,disease
574,C0008479,Chondrosarcoma,disease
575,C0008487,Chordoma,disease
576,C0008489,Chorea,phenotype
579,C0008497,Choriocarcinoma,disease
586,C0008533,Hemophilia B,disease
591,C0008677,"Bronchitis, Chronic",disease
596,C0008701,Chronic Motor or Vocal Tic Disorder,phenotype
599,C0008728,Eosinophilic granulomatosis with polyangiitis,disease
603,C0008780,Ciliary Motility Disorders,group
604,C0008810,Circadian Rhythms,phenotype
606,C0008924,Cleft upper lip,disease
607,C0008925,Cleft Palate,disease
608,C0008928,Cleidocranial Dysplasia,disease
609,C0009021,Clonorchiasis,disease
610,C0009024,Clonus,phenotype
612,C0009080,Clubbed Fingers,disease
613,C0009081,Congenital clubfoot,disease
617,C0009088,Cluster Headache,disease
619,C0009171,Cocaine Abuse,disease
625,C0009207,Cockayne Syndrome,disease
627,C0009241,Cognition Disorders,group
628,C0009319,Colitis,disease
629,C0009324,Ulcerative Colitis,disease
631,C0009363,Congenital ocular coloboma (disorder),disease
634,C0009375,Colonic Neoplasms,group
635,C0009376,Colonic Polyps,phenotype
636,C0009398,Color vision defect,phenotype
637,C0009402,Colorectal Carcinoma,disease
638,C0009404,Colorectal Neoplasms,group
639,C0009405,Hereditary Nonpolyposis Colorectal Neoplasms,group
640,C0009421,Comatose,phenotype
645,C0009447,Common Variable Immunodeficiency,disease
646,C0009451,Communicating Hydrocephalus,disease
647,C0009460,Communication impairment,phenotype
651,C0009676,Confusion,phenotype
654,C0009691,Congenital cataract,disease
656,C0009714,"Hepatic Fibrosis, Congenital",disease
658,C0009759,Conjunctival Diseases,group
660,C0009763,Conjunctivitis,disease
662,C0009766,Allergic Conjunctivitis,disease
666,C0009782,Connective Tissue Diseases,group
668,C0009806,Constipation,phenotype
672,C0009928,Contrast Sensitivity,phenotype
674,C0009952,Febrile Convulsions,disease
678,C0010036,Corneal dystrophy,disease
679,C0010038,Corneal Opacity,phenotype
682,C0010051,Coronary Aneurysm,disease
683,C0010054,Coronary Arteriosclerosis,disease
684,C0010068,Coronary heart disease,disease
685,C0010072,Coronary Thrombosis,disease
688,C0010093,Corpus Luteum Cyst,disease
689,C0010200,Coughing,phenotype
695,C0010276,Craniopharyngioma,disease
696,C0010278,Craniosynostosis,disease
697,C0010308,Congenital Hypothyroidism,disease
698,C0010314,Cri-du-Chat Syndrome,disease
699,C0010324,"Crigler Najjar syndrome, type 1",disease
701,C0010346,Crohn Disease,disease
707,C0010417,Cryptorchidism,disease
710,C0010481,Cushing Syndrome,disease
711,C0010495,Cutis Laxa,disease
712,C0010520,Cyanosis,phenotype
714,C0010606,Adenoid Cystic Carcinoma,disease
721,C0010674,Cystic Fibrosis,disease
723,C0010691,Cystinuria,disease
724,C0010692,Cystitis,disease
727,C0010709,Cyst,disease
728,C0010823,Cytomegalovirus Infections,group
730,C0010964,Dandy-Walker Syndrome,disease
731,C0011052,Prelingual Deafness,disease
732,C0011053,Deafness,phenotype
734,C0011071,Sudden death,phenotype
738,C0011168,Deglutition Disorders,group
739,C0011175,Dehydration,phenotype
740,C0011195,Dejerine-Sottas Disease (disorder),disease
741,C0011206,Delirium,disease
746,C0011265,Presenile dementia,disease
748,C0011269,"Dementia, Vascular",disease
750,C0011303,Demyelinating Diseases,group
751,C0011304,Demyelination,phenotype
752,C0011311,Dengue Fever,disease
755,C0011334,Dental caries,disease
756,C0011351,Dental Enamel Hypoplasia,disease
761,C0011428,Dentigerous Cyst,disease
762,C0011430,Dentin Dysplasia,disease
765,C0011436,Dentinogenesis Imperfecta,disease
768,C0011570,Mental Depression,disease
769,C0011573,Endogenous depression,disease
770,C0011574,Involutional Depression,disease
772,C0011581,Depressive disorder,disease
774,C0011606,Exfoliative dermatitis,disease
775,C0011608,Dermatitis Herpetiformis,disease
776,C0011609,Drug Eruptions,group
777,C0011615,"Dermatitis, Atopic",disease
778,C0011616,Contact Dermatitis,disease
781,C0011633,Dermatomyositis,disease
786,C0011757,Developmental Coordination Disorder,disease
787,C0011813,Dextrocardia,disease
788,C0011847,Diabetes,disease
789,C0011848,Diabetes Insipidus,disease
790,C0011849,Diabetes Mellitus,group
791,C0011853,"Diabetes Mellitus, Experimental",disease
792,C0011854,"Diabetes Mellitus, Insulin-Dependent",disease
793,C0011859,Lipoatrophic Diabetes Mellitus,disease
794,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",disease
796,C0011875,Diabetic Angiopathies,disease
798,C0011880,Diabetic Ketoacidosis,disease
799,C0011881,Diabetic Nephropathy,disease
800,C0011882,Diabetic Neuropathies,group
801,C0011884,Diabetic Retinopathy,disease
802,C0011904,"Diagnostic Techniques, Cardiovascular",phenotype
803,C0011981,Diaphragmatic Eventration,disease
805,C0011991,Diarrhea,phenotype
811,C0012236,DiGeorge Syndrome,disease
812,C0012241,Congenital anomaly of gastrointestinal tract,group
817,C0012569,Diplopia,phenotype
823,C0012715,Iron Metabolism Disorders,group
824,C0012716,Disorder of magnesium metabolism,group
827,C0012739,Disseminated Intravascular Coagulation,disease
831,C0012811,Colon diverticulum anatomic structure,phenotype
837,C0013069,Double Outlet Right Ventricle,disease
