NID,diseaseNID,geneNID,source,association,associationType,sentence,pmid,score,EL,EI,year
3090754,23388,6451,CLINGEN,,Biomarker,"KCNQ4, a novel potassium channel expressed in sensory outer hair cells, is mutated in dominant deafness.",10025409,0.39,definitive,1,1999
1068598,2060,1579,CTD_human,,Biomarker,Our findings suggest that the 20210 G-->A mutation in the prothrombin gene is a genetic risk factor for MI.,10027711,0.4,,0.891891891891892,1999
506160,639,3880,CLINVAR,,GeneticVariation,The interaction of the human MutL homologues in hereditary nonpolyposis colon cancer.,10037723,0.64,definitive,1,1999
3105003,23750,5374,GENOMICS_ENGLAND,,Biomarker,Intron-exon structure of ubiquitin c-terminal hydrolase-L1.,10048490,0.71,,1,1998
769489,1368,398,UNIPROT,,GeneticVariation,The His1069Gln mutation in the ATP7B gene in Russian patients with Wilson disease.,10051024,1,definitive,0.979757085020243,1999
3006087,20964,11379,GENOMICS_ENGLAND,,Biomarker,Genomic organization of the human hairless gene (HR) and identification of a mutation underlying congenital atrichia in an Arab Palestinian family.,10051399,0.61,,1,1999
1517529,2991,1579,CTD_human,,Biomarker,"Pharmacological effects of a novel recombinant hirudin, CX-397, in vivo and in vitro: comparison with recombinant hirudin variant-1, heparin, and argatroban.",10064001,0.58,,1,1999
3067828,22754,3298,CLINVAR,,CausalMutation,Coexistence of mitochondrial DNA and beta myosin heavy chain mutations in hypertrophic cardiomyopathy with late congestive heart failure.,10065021,0.7,strong,1,1998
2872646,17327,1674,CLINVAR,,CausalMutation,Clinical variability in patients with Apert's syndrome.,10067911,0.1,,1,1999
1865757,6548,2290,CLINVAR,,CausalMutation,Mechanism of biotin responsiveness in biotin-responsive multiple carboxylase deficiency.,10068510,0.8,,1,1999
2099788,9421,846,CTD_human,,Biomarker,Molecular analysis of the regulation of muscarinic receptor expression and function.,10069499,0.3,,1,1999
2428568,11597,846,CTD_human,,Biomarker,Molecular analysis of the regulation of muscarinic receptor expression and function.,10069499,0.3,,1,1999
1287313,2119,466,CLINVAR,,CausalMutation,The DNA helicase activity of BLM is necessary for the correction of the genomic instability of bloom syndrome cells.,10069810,0.1,,1,1999
2275497,10911,498,CLINVAR,,CausalMutation,High frequency of germ-line BRCA2 mutations among Hungarian male breast cancer patients without family history.,10070953,0.8,strong,0.992941176470588,1999
1605560,3536,1214,RGD,,Therapeutic,Inhibition of beta-myosin heavy chain gene expression in pressure overload rat heart by losartan and captopril.,10072897,0.6,,0.867469879518072,1997
1050163,2032,1295,CLINVAR,,CausalMutation,Dominant-negative inhibition of receptor-mediated endocytosis by a dynamin-1 mutant with a defective pleckstrin homology domain.,10074457,0.1,,1,1999
3000674,20702,243,CLINVAR,,CausalMutation,Combined molecular and clinical approaches for the identification of families with familial adenomatous polyposis coli.,10077047,0.4,,1,1999
1844509,5939,5045,CLINVAR,,GeneticVariation,Different TBX5 interactions in heart and limb defined by Holt-Oram syndrome mutations.,10077612,1,,0.95,1999
2501807,13056,5486,MGD,,Biomarker,A zinc finger truncation of murine WT1 results in the characteristic urogenital abnormalities of Denys-Drash syndrome.,10077614,1,,0.982142857142857,1999
685555,1164,1876,CLINVAR,,GeneticVariation,Non-pseudogene-derived complex acid beta-glucosidase mutations causing mild type 1 and severe type 2 gaucher disease.,10079102,0.9,strong,0.984756097560976,1999
936420,1803,341,RGD,,Biomarker,L-Asparagine synthetase in serum as a marker for neoplasia.,10081,0.5,,1,1976
2899245,18461,3725,CLINVAR,,CausalMutation,A novel nonsense mutation of the PEX7 gene in a patient with rhizomelic chondrodysplasia punctata.,10083738,0.98,,0.964285714285714,1999
2121607,9782,2811,UNIPROT,,GeneticVariation,"Recently, mutations in the helix initiation and termination motifs of keratin 2e (K2e) have been described in IBS patients.",10084318,0.8,limited,1,1999
2906909,18775,5228,CLINVAR,,CausalMutation,Ca2+ sensitization and potentiation of the maximum level of myofibrillar ATPase activity caused by mutations of troponin T found in familial hypertrophic cardiomyopathy.,10085122,0.9,strong,1,1999
1015345,1936,3078,UNIPROT,,GeneticVariation,Germline mutations in the multiple endocrine neoplasia type 1 gene: evidence for frequent splicing defects.,10090472,0.9,strong,0.958791208791209,1999
3000676,20702,243,CLINVAR,,CausalMutation,Familial adenomatous polyposis coli: five novel mutations in exon 15 of the adenomatous polyposis coli (APC) gene in Italian patients. Mutations in brief no. 225. Online.,10090483,0.4,,1,1999
1287371,2119,496,CLINVAR,,CausalMutation,The prevalence of common BRCA1 and BRCA2 mutations among Ashkenazi Jews.,10090881,0.15,,1,1999
782585,1425,3513,UNIPROT,,GeneticVariation,A novel NTRK1 mutation associated with congenital insensitivity to pain with anhidrosis.,10090906,0.8,,1,1999
3204433,29334,2908,UNIPROT,,GeneticVariation,ERGIC-53 gene structure and mutation analysis in 19 combined factors V and VIII deficiency families.,10090935,0.7,definitive,1,1999
1825861,5577,4778,RGD,,ModifyingMutation,Regulatory effects of endogenous protease inhibitors in acute lung inflammatory injury.,10092827,0.2,,1,1999
3165997,27480,3333,CLINVAR,,CausalMutation,Sanfilippo type B syndrome (mucopolysaccharidosis III B): allelic heterogeneity corresponds to the wide spectrum of clinical phenotypes.,10094189,0.7,limited,1,1999
668818,1058,14401,CLINVAR,,GeneticVariation,Heterogeneous spectrum of mutations in the Fanconi anaemia group A gene.,10094191,0.11,,1,1999
3063599,22657,1601,UNIPROT,,GeneticVariation,Heterogeneous spectrum of mutations in the Fanconi anaemia group A gene.,10094191,1,definitive,0.986206896551724,1999
2849928,16329,64,CLINVAR,,CausalMutation,Assignment of transforming growth factor beta1 and beta3 and a third new ligand to the type I receptor ALK-1.,10187774,0.76,definitive,1,1999
1879556,6874,3710,CLINVAR,,CausalMutation,Non-syndromic hearing loss associated with enlarged vestibular aqueduct is caused by PDS mutations.,10190331,1,definitive,1,1999
1717412,4543,1115,ORPHANET,,SomaticCausalMutation,"Given that the skin of these adult mice also exhibits signs of de novo hair-follicle morphogenesis, we wondered whether human pilomatricomas might originate from hair matrix cells and whether they might possess beta-catenin-stabilizing mutations.",10192393,0.8,,1,1999
1879557,6874,3710,CLINGEN,,Biomarker,"Our results demonstrate that pendrin functions as a transporter of chloride and iodide, but not sulfate, and may provide insight into thyroid physiology and the pathophysiology of Pendred syndrome.",10192399,1,definitive,1,1999
641680,918,865,CTD_human,,Biomarker,Abnormal morphogenesis but intact IKK activation in mice lacking the IKKalpha subunit of IkappaB kinase.,10195896,0.3,,1,1999
1483177,2812,865,CTD_human,,Biomarker,Abnormal morphogenesis but intact IKK activation in mice lacking the IKKalpha subunit of IkappaB kinase.,10195896,0.3,,1,1999
2274289,10911,496,CLINVAR,,CausalMutation,Germline BRCA1 alterations in a population-based series of ovarian cancer cases.,10196379,0.8,strong,0.985549132947977,1999
1286309,2119,3880,CLINVAR,,GeneticVariation,Transformation of MutL by ATP binding and hydrolysis: a switch in DNA mismatch repair.,10199405,0.11,,1,1999
1324380,2182,3037,UNIPROT,,GeneticVariation,"Both the index patient (BMI 42.06 kg/m2, height 171 cm, age 19.6 years) and her mother (BMI 37.55 kg/m2, height 164 cm, age 42.5 years) were heterozygous for the deletion. b) A nonsense mutation at position 35 of the MC4-R was detected in two obese probands (BMI 31.29 kg/m2 and BMI 45.91 kg/m2).",10199800,1,,0.96113074204947,1999
739961,1291,1404,RGD,,Biomarker,"Expression of endothelin-1, ETA and ETB receptors, and ECE and distribution of endothelin-1 in failing rat heart.",10199843,0.6,,0.976190476190476,1999
2909844,18891,68,UNIPROT,,GeneticVariation,"Seven novel mutations in the adenosine deaminase (ADA) gene in patients with severe and delayed onset combined immunodeficiency: G74C, V129M, G140E, R149W, Q199P, 462delG, and E337del. Mutations in brief no. 142. Online.",10200056,0.6,,1,1998
6682,24,1672,GENOMICS_ENGLAND,,Biomarker,A mouse model for achondroplasia produced by targeting fibroblast growth factor receptor 3.,10200283,1,definitive,0.973684210526316,1999
1554297,3209,5458,CLINVAR,,GeneticVariation,Mutations that cause the Wiskott-Aldrich syndrome impair the interaction of Wiskott-Aldrich syndrome protein (WASP) with WASP interacting protein.,10202051,1,definitive,0.987179487179487,1999
